iteration	sequences	redundancy	bins	proteins	score
0	8	0	2	136	0.7375
1	8	0	2	136	0.7375
2	8	0	2	136	0.7375
3	8	0	2	136	0.7375
4	8	0	2	136	0.7375
5	8	0	2	136	0.7375
6	8	0	2	136	0.7375
7	8	0	2	136	0.7375
8	8	0	2	136	0.7375
9	8	0	2	136	0.7375
10	8	0	2	136	0.7375
11	8	0	2	136	0.7375
12	8	0	2	136	0.7375
13	8	0	2	136	0.7375
14	8	0	2	136	0.7375
15	8	0	2	136	0.7375
16	8	0	2	136	0.7375
17	8	0	2	136	0.7375
18	8	0	2	136	0.7375
19	8	0	2	136	0.7375
